379 volleyball+court+outdoor
318 shopfront
317 shoe+shop
300 restaurant
182 heliport
7 anechoic+chamber
/media/MartinK3TB/Datasets/SUN397/SUN_original/hospital/72.jpg 187
111 corn+field
/media/MartinK3TB/Datasets/SUN397/SUN_original/shopping+mall+indoor/260.jpg 319
294 raft
/media/MartinK3TB/Datasets/SUN397/SUN_original/kasbah/127.jpg 209
188 hospital+room

240 monastery+outdoor
312 sauna
/media/MartinK3TB/Datasets/SUN397/SUN_original/reception/107.jpg 297
/media/MartinK3TB/Datasets/SUN397/SUN_original/shopping+mall+indoor/36.jpg 319
236 martial+arts+gym
/media/MartinK3TB/Datasets/SUN397/SUN_original/bookstore/139.jpg 55
333 stage+indoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/greenhouse+outdoor/130.jpg 176

/media/MartinK3TB/Datasets/SUN397/SUN_original/reception/122.jpg 297
380 waiting+room
218 landing+deck
340 swamp
129 diner+outdoor
==> standard input <==
359 toyshop
/media/MartinK3TB/Datasets/SUN397/SUN_original/banquet+hall/141.jpg 33
==> tmp <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/cloister+indoor/193.jpg 99
==> standard input <==
229 lock+chamber
/media/MartinK3TB/Datasets/SUN397/SUN_original/dining+car/213.jpg 132
168 garbage+dump
==> tmp <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/dining+car/36.jpg 132
74 canal+natural
==> standard input <==
210 kennel+indoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/theater+indoor+seats/49.jpg 352

212 kindergarden+classroom
/media/MartinK3TB/Datasets/SUN397/SUN_original/banquet+hall/252.jpg 33

15 art+gallery
192 hot+tub+outdoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/swimming+pool+indoor/255.jpg 341
276 picnic+area
243 motel
23 auto+factory
50 biology+laboratory
395 yard
/media/MartinK3TB/Datasets/SUN397/SUN_original/physics+laboratory/145.jpg 275
17 art+studio
==> tmp <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/stable/6.jpg 330
/media/MartinK3TB/Datasets/SUN397/SUN_original/control+tower+outdoor/341.jpg 110
/media/MartinK3TB/Datasets/SUN397/SUN_original/crosswalk/174.jpg 121
267 parking+garage+outdoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/burial+chamber/1.jpg 66
372 veterinarians+office
==> standard input <==
103 cockpit
/media/MartinK3TB/Datasets/SUN397/SUN_original/ice+shelf/66.jpg 198
302 restaurant+patio
272 pavilion
191 hot+spring
382 waterfall+block
313 schoolhouse
/media/MartinK3TB/Datasets/SUN397/SUN_original/ruin/137.jpg 308
/media/MartinK3TB/Datasets/SUN397/SUN_original/physics+laboratory/21.jpg 275


/media/MartinK3TB/Datasets/SUN397/SUN_original/stable/107.jpg 330
/media/MartinK3TB/Datasets/SUN397/SUN_original/hospital/43.jpg 187
==> standard input <==

/media/MartinK3TB/Datasets/SUN397/SUN_original/control+tower+outdoor/193.jpg 110
/media/MartinK3TB/Datasets/SUN397/SUN_original/burial+chamber/39.jpg 66
/media/MartinK3TB/Datasets/SUN397/SUN_original/swimming+pool+indoor/54.jpg 341
/media/MartinK3TB/Datasets/SUN397/SUN_original/shopping+mall+indoor/206.jpg 319
/media/MartinK3TB/Datasets/SUN397/SUN_original/youth+hostel/113.jpg 396
169 gas+station
/media/MartinK3TB/Datasets/SUN397/SUN_original/hospital/39.jpg 187
/media/MartinK3TB/Datasets/SUN397/SUN_original/theater+indoor+seats/8.jpg 352
125 dentists+office
376 vineyard
303 rice+paddy
137 dorm+room
/media/MartinK3TB/Datasets/SUN397/SUN_original/theater+indoor+seats/42.jpg 352
/media/MartinK3TB/Datasets/SUN397/SUN_original/ruin/202.jpg 308
/media/MartinK3TB/Datasets/SUN397/SUN_original/hospital/47.jpg 187
/media/MartinK3TB/Datasets/SUN397/SUN_original/aqueduct/353.jpg 11
/media/MartinK3TB/Datasets/SUN397/SUN_original/canyon/235.jpg 77
235 marsh
/media/MartinK3TB/Datasets/SUN397/SUN_original/pantry/327.jpg 264
362 train+station+platform
381 warehouse+indoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/ice+shelf/50.jpg 198
56 booth+indoor
145 engine+room
157 florist+shop+indoor
==> standard input <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/bazaar+indoor/155.jpg 44
/media/MartinK3TB/Datasets/SUN397/SUN_original/fire+station/39.jpg 154
186 home+office
124 delicatessen
202 industrial+area
358 tower
163 formal+garden
/media/MartinK3TB/Datasets/SUN397/SUN_original/banquet+hall/30.jpg 33
/media/MartinK3TB/Datasets/SUN397/SUN_original/swimming+pool+indoor/237.jpg 341
/media/MartinK3TB/Datasets/SUN397/SUN_original/shopping+mall+indoor/165.jpg 319
/media/MartinK3TB/Datasets/SUN397/SUN_original/abbey/394.jpg 0
8 apartment+building+outdoor
301 restaurant+kitchen
/media/MartinK3TB/Datasets/SUN397/SUN_original/cloister+indoor/55.jpg 99
115 courthouse
327 slum
/media/MartinK3TB/Datasets/SUN397/SUN_original/ruin/134.jpg 308
/media/MartinK3TB/Datasets/SUN397/SUN_original/videostore/4.jpg 374
/media/MartinK3TB/Datasets/SUN397/SUN_original/canyon/243.jpg 77
315 server+room
346 temple+east+asia
/media/MartinK3TB/Datasets/SUN397/SUN_original/stable/124.jpg 330
81 casino+indoor
355 ticket+booth
/media/MartinK3TB/Datasets/SUN397/SUN_original/fire+station/249.jpg 154
/media/MartinK3TB/Datasets/SUN397/SUN_original/observatory+outdoor/182.jpg 253
360 track+outdoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/greenhouse+outdoor/121.jpg 176
366 underwater+coral+reef
298 recreation+room
/media/MartinK3TB/Datasets/SUN397/SUN_original/chalet/17.jpg 88
/media/MartinK3TB/Datasets/SUN397/SUN_original/dining+car/229.jpg 132
52 boardwalk
40 basketball+court+outdoor

/media/MartinK3TB/Datasets/SUN397/SUN_original/abbey/133.jpg 0
156 fishpond
/media/MartinK3TB/Datasets/SUN397/SUN_original/chalet/187.jpg 88
/media/MartinK3TB/Datasets/SUN397/SUN_original/elevator+interior/12.jpg 143
167 garage+indoor
79 car+interior+frontseat
181 hayfield
==> standard input <==
83 catacomb
41 bathroom

/media/MartinK3TB/Datasets/SUN397/SUN_original/theater+indoor+seats/34.jpg 352
365 trench
58 bowling+alley
25 badminton+court+indoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/auditorium/27.jpg 22
59 bow+window+indoor

347 temple+south+asia
/media/MartinK3TB/Datasets/SUN397/SUN_original/auditorium/12.jpg 22
57 botanical+garden
391 windmill
/media/MartinK3TB/Datasets/SUN397/SUN_original/elevator+interior/54.jpg 143
/media/MartinK3TB/Datasets/SUN397/SUN_original/banquet+hall/7.jpg 33
223 lido+deck+outdoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/dining+car/100.jpg 132
356 toll+plaza
/media/MartinK3TB/Datasets/SUN397/SUN_original/mansion/233.jpg 231
/media/MartinK3TB/Datasets/SUN397/SUN_original/greenhouse+outdoor/18.jpg 176
194 hunting+lodge+outdoor
306 rock+arch
/media/MartinK3TB/Datasets/SUN397/SUN_original/mosque+outdoor/410.jpg 242
304 riding+arena
==> standard input <==
==> tmp <==
92 chicken+coop+outdoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/theater+indoor+seats/46.jpg 352
247 museum+indoor
107 conference+room

/media/MartinK3TB/Datasets/SUN397/SUN_original/shopping+mall+indoor/138.jpg 319
/media/MartinK3TB/Datasets/SUN397/SUN_original/greenhouse+outdoor/71.jpg 176
112 corral
==> standard input <==
197 ice+floe
/media/MartinK3TB/Datasets/SUN397/SUN_original/cloister+indoor/47.jpg 99
200 ice+skating+rink+outdoor


78 car+interior+backseat
368 valley
/media/MartinK3TB/Datasets/SUN397/SUN_original/auditorium/185.jpg 22
361 train+railway
172 general+store+outdoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/watering+hole/68.jpg 385
==> tmp <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/dining+car/127.jpg 132
/media/MartinK3TB/Datasets/SUN397/SUN_original/videostore/104.jpg 374
/media/MartinK3TB/Datasets/SUN397/SUN_original/bookstore/24.jpg 55
265 park
94 church+indoor
342 swimming+pool+outdoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/pantry/400.jpg 264
2 airport+terminal
/media/MartinK3TB/Datasets/SUN397/SUN_original/lecture+room/78.jpg 220
280 playroom
93 childs+room
271 patio
/media/MartinK3TB/Datasets/SUN397/SUN_original/stable/44.jpg 330
/media/MartinK3TB/Datasets/SUN397/SUN_original/pantry/205.jpg 264
148 factory+indoor

144 elevator+shaft
/media/MartinK3TB/Datasets/SUN397/SUN_original/kasbah/65.jpg 209
/media/MartinK3TB/Datasets/SUN397/SUN_original/stable/146.jpg 330
==> tmp <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/cloister+indoor/45.jpg 99
/media/MartinK3TB/Datasets/SUN397/SUN_original/youth+hostel/52.jpg 396
/media/MartinK3TB/Datasets/SUN397/SUN_original/ice+shelf/91.jpg 198
/media/MartinK3TB/Datasets/SUN397/SUN_original/mosque+outdoor/273.jpg 242
/media/MartinK3TB/Datasets/SUN397/SUN_original/canyon/26.jpg 77
==> standard input <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/mosque+outdoor/255.jpg 242
126 desert+sand
256 office+building
==> standard input <==
338 supermarket
320 shower
12 arch
/media/MartinK3TB/Datasets/SUN397/SUN_original/burial+chamber/37.jpg 66
/media/MartinK3TB/Datasets/SUN397/SUN_original/crosswalk/47.jpg 121
==> standard input <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/mosque+outdoor/44.jpg 242

337 subway+station+platform
==> tmp <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/galley/51.jpg 165
20 atrium+public
254 ocean
/media/MartinK3TB/Datasets/SUN397/SUN_original/ruin/196.jpg 308
108 construction+site
/media/MartinK3TB/Datasets/SUN397/SUN_original/bookstore/156.jpg 55
117 courtyard
==> tmp <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/abbey/10.jpg 0
46 beach
/media/MartinK3TB/Datasets/SUN397/SUN_original/aqueduct/31.jpg 11
/media/MartinK3TB/Datasets/SUN397/SUN_original/kasbah/50.jpg 209
/media/MartinK3TB/Datasets/SUN397/SUN_original/poolroom+home/393.jpg 286
216 lake+natural
